epoch,acc,loss,val_acc,val_loss
0,0.45373765592771986,1.4195574881557391,0.5741360089186176,1.1141395655231199
1,0.520711575397235,1.2647268929501863,0.58974358974358976,1.083114723962552
2,0.53219371513653335,1.2362883448356403,0.600613154960981,1.0682208783916274
3,0.53834340111261514,1.2204951053698445,0.60730211817168334,1.0538071116210359
4,0.54270978719083784,1.2093416588070276,0.60562987736900775,1.049108599074841
5,0.54578463017527179,1.2023267507011075,0.6011705685618729,1.0450718756370587
6,0.54752758638595345,1.1976529954821495,0.60367892976588633,1.0486463131580332
7,0.54947934842308421,1.1927095124277689,0.60451505016722407,1.0440692952112476
8,0.55118850316895873,1.1883339984469188,0.61343366778149389,1.0304937269642467
9,0.55246369071221613,1.1852787303171572,0.61204013377926425,1.0410616029730875
